,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Beta6[12],-0.011,1.064,-1.998,2.019,0.008,0.005,20068.0,19420.0,20076.0,18592.0,
Beta6[13],-0.008,1.077,-2.037,1.984,0.008,0.005,19555.0,19555.0,19550.0,19919.0,
Beta6[14],0.01,1.088,-2.034,2.058,0.008,0.006,19536.0,19536.0,19541.0,19230.0,
Beta6[15],0.026,1.072,-2.01,2.037,0.007,0.005,20454.0,19879.0,20456.0,19733.0,
Beta6[16],-0.002,1.094,-2.073,1.985,0.008,0.005,20036.0,19882.0,20042.0,20215.0,
Beta6[17],-0.019,1.056,-1.909,2.064,0.007,0.005,20006.0,18683.0,19958.0,18725.0,
Beta6[18],0.012,1.067,-1.988,2.016,0.008,0.005,19628.0,19618.0,19621.0,19694.0,
Beta6[19],0.014,1.066,-1.918,2.098,0.008,0.005,20184.0,19737.0,20189.0,19524.0,
Beta6[20],0.02,1.08,-1.966,2.099,0.008,0.005,20201.0,20174.0,20205.0,18962.0,
Beta6[21],0.009,1.076,-2.041,2.0,0.008,0.005,20241.0,19900.0,20247.0,20004.0,
Beta6[22],0.015,1.083,-2.114,1.989,0.008,0.005,19871.0,19767.0,19861.0,19772.0,
Beta6[23],-0.003,1.092,-2.037,2.058,0.008,0.006,19709.0,19604.0,19720.0,19997.0,
Beta6[24],-0.022,1.09,-2.106,1.979,0.008,0.005,20122.0,20122.0,20122.0,20002.0,
Beta6[25],-0.029,1.079,-2.068,1.954,0.008,0.005,19367.0,19367.0,19364.0,19754.0,
Beta6[26],-0.012,1.073,-2.038,1.988,0.008,0.005,20232.0,19569.0,20231.0,19159.0,
Beta6[27],-0.004,1.066,-2.026,1.975,0.008,0.005,19319.0,19319.0,19327.0,19830.0,
Beta6[28],0.027,1.059,-1.958,2.024,0.007,0.005,20474.0,20000.0,20469.0,19910.0,
Beta6[29],0.01,1.057,-1.995,1.975,0.008,0.005,19462.0,19445.0,19466.0,19621.0,
Beta6[30],-0.002,1.091,-1.994,2.096,0.008,0.005,19873.0,19873.0,19873.0,19311.0,
Beta6[31],-0.028,1.102,-2.047,2.057,0.008,0.006,20011.0,19865.0,20005.0,19601.0,
Beta6[32],0.005,1.116,-2.15,2.044,0.008,0.006,20216.0,20208.0,20215.0,19770.0,
Beta6[33],0.044,1.088,-2.02,2.068,0.008,0.005,19772.0,19772.0,19774.0,20129.0,
Beta6[34],0.022,1.083,-2.059,1.999,0.008,0.005,20046.0,19848.0,20058.0,19668.0,
Beta6[35],0.014,1.075,-2.065,1.981,0.008,0.005,20315.0,19921.0,20314.0,19569.0,
Beta6[36],-0.01,1.103,-2.11,2.058,0.008,0.006,19789.0,19593.0,19788.0,19402.0,
Beta6[37],0.015,1.094,-2.04,2.065,0.008,0.006,19624.0,19381.0,19621.0,19330.0,
Beta6[38],0.01,1.072,-2.001,2.038,0.008,0.005,20045.0,19659.0,20088.0,18732.0,
Beta6[39],0.009,1.072,-2.002,1.994,0.008,0.005,20029.0,19658.0,20030.0,19400.0,
Beta7[0],0.42,0.392,-0.315,1.136,0.003,0.002,19592.0,19510.0,19591.0,19276.0,
Beta7[1],1.224,0.633,0.077,2.453,0.005,0.003,19012.0,18985.0,19017.0,19830.0,
Beta7[2],0.952,0.594,-0.184,2.044,0.004,0.003,19930.0,19668.0,19932.0,19428.0,
Beta7[3],-0.031,0.341,-0.666,0.612,0.002,0.002,19813.0,19813.0,19806.0,19980.0,
Beta7[4],-0.312,0.265,-0.806,0.192,0.002,0.001,19357.0,19063.0,19369.0,19318.0,
Beta7[5],0.544,0.353,-0.143,1.193,0.003,0.002,19370.0,19370.0,19380.0,18933.0,
Beta7[6],-0.579,0.326,-1.19,0.037,0.002,0.002,19679.0,19679.0,19683.0,18944.0,
Beta7[7],-0.041,0.306,-0.619,0.523,0.002,0.002,19734.0,19734.0,19738.0,19341.0,
Beta7[8],-0.295,0.232,-0.724,0.146,0.002,0.001,20398.0,20398.0,20401.0,19880.0,
Beta7[9],-0.052,0.251,-0.516,0.426,0.002,0.001,19845.0,19845.0,19857.0,19877.0,
Beta7[10],0.292,0.262,-0.187,0.795,0.002,0.001,20148.0,20105.0,20152.0,19754.0,
Beta7[11],0.788,0.363,0.091,1.452,0.003,0.002,20158.0,20158.0,20157.0,19692.0,
Beta7[12],0.041,0.305,-0.524,0.625,0.002,0.002,19887.0,19887.0,19888.0,19837.0,
Beta7[13],-0.014,0.297,-0.58,0.529,0.002,0.002,19684.0,19016.0,19683.0,19710.0,
Beta7[14],0.171,0.312,-0.422,0.747,0.002,0.002,19785.0,19785.0,19783.0,19201.0,
Beta7[15],0.191,0.371,-0.508,0.88,0.003,0.002,20160.0,19106.0,20149.0,19466.0,
Beta7[16],0.676,0.34,0.058,1.336,0.002,0.002,19709.0,19378.0,19733.0,19803.0,
Beta7[17],0.249,0.342,-0.398,0.881,0.002,0.002,19226.0,19226.0,19231.0,19371.0,
Beta7[18],0.403,0.388,-0.317,1.131,0.003,0.002,19846.0,19846.0,19856.0,19563.0,
Beta7[19],0.318,0.367,-0.385,0.988,0.003,0.002,19237.0,19237.0,19245.0,19733.0,
Beta7[20],1.17,0.541,0.142,2.167,0.004,0.003,20165.0,20068.0,20160.0,19873.0,
Beta7[21],0.271,0.442,-0.563,1.097,0.003,0.002,19899.0,19899.0,19893.0,20046.0,
Beta7[22],1.026,0.399,0.269,1.773,0.003,0.002,19687.0,19560.0,19671.0,18611.0,
Beta7[23],-0.074,0.318,-0.685,0.504,0.002,0.002,19725.0,19725.0,19739.0,19506.0,
Beta7[24],0.609,0.352,-0.049,1.279,0.003,0.002,19832.0,19832.0,19840.0,19234.0,
Beta7[25],-0.526,0.405,-1.293,0.228,0.003,0.002,20106.0,19821.0,20106.0,19300.0,
Beta7[26],0.594,0.404,-0.183,1.331,0.003,0.002,19286.0,19116.0,19293.0,18715.0,
Beta7[27],0.368,0.38,-0.333,1.098,0.003,0.002,19739.0,19505.0,19746.0,19754.0,
Beta7[28],-0.051,0.408,-0.823,0.699,0.003,0.002,20140.0,20140.0,20135.0,19494.0,
Beta7[29],0.094,0.355,-0.573,0.761,0.002,0.002,20255.0,19870.0,20265.0,19790.0,
Beta7[30],-0.122,0.42,-0.922,0.667,0.003,0.002,19402.0,19305.0,19404.0,19310.0,
Beta7[31],0.669,0.612,-0.468,1.822,0.004,0.003,19481.0,19481.0,19490.0,19858.0,
Beta7[32],0.302,0.474,-0.594,1.176,0.003,0.002,19840.0,19085.0,19835.0,19713.0,
Beta7[33],0.313,0.395,-0.445,1.045,0.003,0.002,20028.0,19879.0,20027.0,19694.0,
Beta7[34],0.642,0.383,-0.097,1.354,0.003,0.002,20173.0,19931.0,20171.0,19369.0,
Beta7[35],0.666,0.406,-0.116,1.401,0.003,0.002,19925.0,19760.0,19921.0,19659.0,
Beta7[36],-0.028,0.354,-0.701,0.624,0.003,0.002,19494.0,19494.0,19492.0,19631.0,
Beta7[37],0.474,0.413,-0.295,1.244,0.003,0.002,20271.0,20249.0,20277.0,19673.0,
Beta7[38],0.357,0.391,-0.357,1.106,0.003,0.002,19773.0,19458.0,19766.0,19813.0,
Beta7[39],0.242,0.399,-0.524,0.966,0.003,0.002,19700.0,19700.0,19704.0,20112.0,
