,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Beta3[5],-1.023,0.636,-2.224,0.171,0.005,0.003,19924.0,19924.0,19930.0,19840.0,
Beta3[6],0.013,1.097,-2.023,2.088,0.008,0.006,19641.0,19641.0,19649.0,20217.0,
Beta3[7],-0.003,1.111,-2.092,2.094,0.008,0.006,19958.0,19888.0,19956.0,19912.0,
Beta3[8],0.016,1.075,-2.03,2.029,0.008,0.005,19794.0,19500.0,19797.0,19513.0,
Beta3[9],-0.005,1.085,-1.989,2.085,0.008,0.005,19862.0,19719.0,19853.0,18999.0,
Beta3[10],-0.466,0.547,-1.49,0.57,0.004,0.003,19812.0,19741.0,19810.0,19632.0,
Beta3[11],0.018,1.068,-2.029,1.987,0.007,0.005,20368.0,19966.0,20369.0,19368.0,
Beta3[12],0.005,1.085,-2.073,2.008,0.008,0.005,20432.0,20087.0,20426.0,19542.0,
Beta3[13],-0.005,1.067,-2.009,1.982,0.008,0.006,20062.0,18686.0,20064.0,19413.0,
Beta3[14],0.009,1.082,-1.923,2.121,0.008,0.005,19959.0,19358.0,19968.0,18572.0,
Beta3[15],0.003,1.069,-1.977,2.033,0.008,0.005,18894.0,18894.0,18902.0,19798.0,
Beta3[16],-0.006,1.076,-2.042,2.001,0.008,0.005,20353.0,19601.0,20356.0,20004.0,
Beta3[17],-0.013,1.072,-2.072,1.958,0.008,0.006,19489.0,18931.0,19486.0,19876.0,
Beta3[18],-0.005,1.09,-2.047,2.035,0.008,0.005,19863.0,19863.0,19869.0,19861.0,
Beta3[19],-0.004,1.078,-1.999,2.034,0.008,0.005,19834.0,19203.0,19845.0,19479.0,
Beta3[20],0.015,1.078,-1.998,2.063,0.008,0.006,20348.0,18831.0,20352.0,18831.0,
Beta3[21],-0.379,0.628,-1.569,0.79,0.005,0.003,19228.0,19228.0,19202.0,19038.0,
Beta3[22],-0.012,1.093,-2.006,2.045,0.008,0.006,20291.0,19395.0,20285.0,19591.0,
Beta3[23],-0.06,0.645,-1.292,1.14,0.005,0.003,19575.0,18635.0,19557.0,18653.0,
Beta3[24],0.013,1.064,-1.988,2.012,0.007,0.005,20309.0,19015.0,20321.0,19588.0,
Beta3[25],0.01,1.068,-1.957,2.054,0.008,0.005,19871.0,19806.0,19869.0,19877.0,
Beta3[26],-0.12,0.717,-1.469,1.209,0.005,0.004,20332.0,19481.0,20338.0,19877.0,
Beta3[27],-0.005,1.043,-1.985,1.947,0.007,0.005,20042.0,19487.0,20048.0,19506.0,
Beta3[28],0.008,1.115,-2.082,2.088,0.008,0.006,19775.0,19775.0,19778.0,20004.0,
Beta3[29],-0.03,1.074,-2.074,1.946,0.008,0.005,19715.0,19715.0,19709.0,19150.0,
Beta3[30],0.01,1.085,-2.003,2.083,0.008,0.005,19590.0,19590.0,19583.0,19203.0,
Beta3[31],-0.013,1.092,-2.029,2.067,0.008,0.006,19645.0,19645.0,19642.0,20003.0,
Beta3[32],0.089,0.795,-1.361,1.614,0.006,0.004,19444.0,19444.0,19444.0,19801.0,
Beta3[33],-0.013,1.083,-2.03,2.024,0.008,0.005,19885.0,19885.0,19881.0,19478.0,
Beta3[34],-0.358,0.726,-1.767,0.984,0.005,0.004,19907.0,19733.0,19908.0,19962.0,
Beta3[35],-1.037,0.702,-2.389,0.243,0.005,0.004,19844.0,19832.0,19840.0,19451.0,
Beta3[36],0.006,1.08,-2.084,1.998,0.008,0.006,19144.0,19144.0,19139.0,19458.0,
Beta3[37],0.001,1.081,-2.043,2.02,0.008,0.005,19985.0,19473.0,19986.0,19755.0,
Beta3[38],-0.003,1.097,-2.08,2.012,0.008,0.005,19965.0,19965.0,19981.0,20182.0,
Beta3[39],-0.004,1.081,-1.993,2.061,0.008,0.006,19202.0,19202.0,19205.0,19814.0,
Beta4[0],-0.017,1.072,-2.058,1.952,0.008,0.005,19867.0,19730.0,19867.0,18414.0,
Beta4[1],-1.028,0.706,-2.357,0.299,0.005,0.004,19638.0,19638.0,19641.0,19394.0,
Beta4[2],-1.362,0.585,-2.475,-0.278,0.004,0.003,19447.0,19338.0,19442.0,19360.0,
Beta4[3],-1.009,0.376,-1.71,-0.311,0.003,0.002,19294.0,19294.0,19317.0,18982.0,
Beta4[4],0.07,0.517,-0.905,1.041,0.004,0.003,19766.0,19253.0,19769.0,19788.0,
Beta4[5],0.013,1.076,-1.985,2.058,0.008,0.005,19659.0,19568.0,19658.0,19564.0,
Beta4[6],-1.073,0.602,-2.213,0.05,0.004,0.003,19722.0,19696.0,19739.0,19452.0,
Beta4[7],-0.01,1.076,-2.055,1.971,0.008,0.005,20482.0,19729.0,20480.0,20066.0,
Beta4[8],-0.763,0.456,-1.593,0.122,0.003,0.002,19907.0,19907.0,19903.0,19794.0,
Beta4[9],-0.557,0.469,-1.412,0.358,0.003,0.002,19699.0,19699.0,19699.0,19478.0,
Beta4[10],-0.631,0.362,-1.29,0.071,0.003,0.002,19647.0,19647.0,19647.0,18763.0,
Beta4[11],-0.43,0.289,-0.977,0.104,0.002,0.001,19850.0,19524.0,19847.0,19753.0,
Beta4[12],-0.612,0.295,-1.188,-0.073,0.002,0.001,20693.0,20693.0,20690.0,19913.0,
Beta4[13],-0.93,0.247,-1.412,-0.484,0.002,0.001,20151.0,20151.0,20163.0,19902.0,
Beta4[14],-0.555,0.31,-1.13,0.034,0.002,0.002,20067.0,20013.0,20073.0,20046.0,
Beta4[15],-0.458,0.294,-1.014,0.088,0.002,0.001,19219.0,19206.0,19220.0,18786.0,
Beta4[16],-0.633,0.297,-1.188,-0.079,0.002,0.002,19558.0,19423.0,19577.0,18987.0,
Beta4[17],-0.732,0.306,-1.302,-0.142,0.002,0.002,20056.0,20056.0,20049.0,20009.0,
Beta4[18],-0.682,0.334,-1.313,-0.06,0.002,0.002,19903.0,19903.0,19901.0,19185.0,
Beta4[19],-1.109,0.319,-1.691,-0.489,0.002,0.002,19802.0,19747.0,19747.0,19871.0,
Beta4[20],-0.419,0.449,-1.286,0.397,0.003,0.002,19999.0,19999.0,20003.0,19831.0,
Beta4[21],-0.316,0.56,-1.34,0.757,0.004,0.003,19676.0,19460.0,19676.0,19399.0,
Beta4[22],-0.772,0.566,-1.817,0.309,0.004,0.003,19464.0,19464.0,19459.0,19794.0,
Beta4[23],-0.082,0.641,-1.304,1.108,0.005,0.003,19357.0,19357.0,19361.0,19239.0,
Beta4[24],0.272,0.581,-0.841,1.333,0.004,0.003,20294.0,20243.0,20282.0,19268.0,
Beta4[25],-0.023,1.09,-2.072,2.006,0.008,0.005,20139.0,19885.0,20134.0,19687.0,
Beta4[26],-0.02,1.073,-2.043,2.0,0.008,0.005,19219.0,19219.0,19212.0,19129.0,
Beta4[27],-0.014,1.085,-2.014,2.075,0.008,0.006,18950.0,18950.0,18938.0,19752.0,
Beta4[28],-0.337,0.655,-1.614,0.868,0.005,0.003,19648.0,19648.0,19647.0,19919.0,
Beta4[29],0.014,1.071,-1.968,2.047,0.008,0.005,20001.0,20001.0,20001.0,20005.0,
Beta4[30],-0.159,0.6,-1.265,0.987,0.004,0.003,20318.0,20285.0,20319.0,20174.0,
Beta4[31],-0.005,1.076,-2.022,1.997,0.008,0.005,19967.0,19381.0,19959.0,19509.0,
Beta4[32],0.008,1.066,-2.037,1.981,0.008,0.005,18859.0,18859.0,18852.0,18955.0,
Beta4[33],0.004,1.068,-1.925,2.092,0.008,0.005,19784.0,19483.0,19792.0,19878.0,
