School_Year,Variable
Western 2013,Hispanic
Western 2014,Hispanic
Western 2015,Hispanic
Western 2016,Hispanic
Western 2017,Hispanic
Western 2018,Hispanic
Western 2019,Other
Albemarle 2010,Other
Albemarle 2011,Other
Albemarle 2012,Other
Albemarle 2013,Other
Albemarle 2014,Other
Albemarle 2015,Other
Albemarle 2016,Other
Albemarle 2017,Other
Albemarle 2018,Other
Albemarle 2019,Other
Charlottesville 2010,Other
Charlottesville 2011,Other
Charlottesville 2012,Other
Charlottesville 2013,Other
Charlottesville 2014,Other
Charlottesville 2015,Other
Charlottesville 2016,Other
Charlottesville 2017,Other
Charlottesville 2018,Other
Charlottesville 2019,Other
Monticello 2010,Other
Monticello 2011,Other
Monticello 2012,Other
Monticello 2013,Other
Monticello 2014,Other
Monticello 2015,Other
Monticello 2016,Other
Monticello 2017,Other
Monticello 2018,Other
Monticello 2019,Other
Western 2010,Other
Western 2011,Other
Western 2012,Other
Western 2013,Other
Western 2014,Other
Western 2015,Other
Western 2016,Other
Western 2017,Other
Western 2018,Other
Western 2019,Gender
Albemarle 2010,Gender
Albemarle 2011,Gender
Albemarle 2012,Gender
Albemarle 2013,Gender
Albemarle 2014,Gender
Albemarle 2015,Gender
Albemarle 2016,Gender
Albemarle 2017,Gender
Albemarle 2018,Gender
Albemarle 2019,Gender
Charlottesville 2010,Gender
Charlottesville 2011,Gender
Charlottesville 2012,Gender
Charlottesville 2013,Gender
Charlottesville 2014,Gender
Charlottesville 2015,Gender
Charlottesville 2016,Gender
Charlottesville 2017,Gender
Charlottesville 2018,Gender
Charlottesville 2019,Gender
Monticello 2010,Gender
Monticello 2011,Gender
Monticello 2012,Gender
Monticello 2013,Gender
Monticello 2014,Gender
Monticello 2015,Gender
Monticello 2016,Gender
Monticello 2017,Gender
Monticello 2018,Gender
Monticello 2019,Gender
Western 2010,Gender
Western 2011,Gender
Western 2012,Gender
Western 2013,Gender
Western 2014,Gender
Western 2015,Gender
Western 2016,Gender
Western 2017,Gender
Western 2018,Gender
Mu ,None
Sigma,None
