,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Beta2[17],0.026,1.096,-2.044,2.081,0.008,0.006,20015,19614,20012,19194,
Beta2[18],0.011,1.073,-2.062,1.985,0.008,0.005,20010,19784,20011,19634,
Beta2[19],-0.011,1.077,-2.034,1.996,0.008,0.005,19953,19877,19957,20054,
Beta2[20],-0.012,1.072,-2.024,2.024,0.008,0.005,19434,19051,19433,18890,
Beta2[21],-0.027,1.082,-2.071,1.994,0.008,0.005,20232,20232,20231,19672,
Beta2[22],0.014,1.09,-2.055,2.037,0.008,0.006,18861,18861,18845,19759,
Beta2[23],0.031,1.067,-1.931,2.059,0.008,0.005,19146,19146,19144,19007,
Beta2[24],0.01,1.064,-1.994,2.008,0.008,0.005,18884,18884,18882,18603,
Beta2[25],0.01,1.079,-2.042,2.012,0.008,0.005,20176,20157,20178,19229,
Beta2[26],0.022,1.084,-2.033,2.018,0.008,0.006,19913,19254,19916,19470,
Beta2[27],-0.002,1.069,-2.027,1.983,0.008,0.005,18998,18998,19000,19756,
Beta2[28],-0.008,1.072,-2.019,2.018,0.008,0.006,18459,18459,18444,19670,
Beta2[29],0.016,1.056,-2.037,1.929,0.007,0.005,20081,19975,20075,20333,
Beta2[30],-0.002,1.076,-1.991,2.058,0.008,0.005,19813,19469,19825,19067,
Beta2[31],0.009,1.067,-1.981,2.035,0.007,0.005,20514,19186,20509,19872,
Beta2[32],0.015,1.064,-2.008,1.969,0.008,0.005,20134,19757,20131,18707,
Beta2[33],0.008,1.092,-2.183,1.929,0.008,0.005,19906,19906,19904,19751,
Beta2[34],0.026,1.086,-2.002,2.068,0.008,0.006,18334,18334,18334,19632,
Beta2[35],-0.016,1.077,-1.968,2.103,0.008,0.005,20227,19704,20227,19873,
Beta2[36],0.015,1.077,-1.916,2.13,0.008,0.005,19883,19705,19889,19078,
Beta2[37],0.018,1.071,-1.956,2.047,0.008,0.005,19279,19279,19287,19390,
Beta2[38],0.014,1.081,-2.065,1.996,0.008,0.005,19813,19707,19812,19709,
Beta2[39],-0.025,1.08,-2.047,1.991,0.008,0.005,20255,19897,20219,19345,
Beta3[0],0,1.097,-2.066,2.047,0.008,0.006,19019,19019,19025,19719,
Beta3[1],0.394,0.948,-1.408,2.161,0.007,0.005,19679,19679,19678,19138,
Beta3[2],0.02,1.095,-2.044,2.04,0.008,0.005,19960,19960,19969,19409,
Beta3[3],0.013,1.072,-2.035,2.002,0.008,0.005,19829,19829,19831,19566,
Beta3[4],0.291,0.641,-0.99,1.434,0.005,0.003,20091,19503,20092,20007,
Beta3[5],-1.009,0.627,-2.131,0.235,0.004,0.003,19645,19645,19645,18450,
Beta3[6],0.005,1.081,-1.983,2.053,0.008,0.005,19759,19759,19764,19625,
Beta3[7],-0.029,1.072,-2.057,1.974,0.008,0.006,18569,18569,18559,19265,
Beta3[8],0.005,1.097,-2.024,2.064,0.008,0.006,20099,18967,20095,19580,
Beta3[9],-0.016,1.093,-1.982,2.121,0.008,0.005,19759,19759,19760,19597,
Beta3[10],-0.485,0.552,-1.54,0.528,0.004,0.003,19993,19422,19990,19193,
Beta3[11],-0.002,1.076,-2.054,1.964,0.008,0.005,19786,19387,19785,18693,
Beta3[12],0.003,1.089,-1.98,2.102,0.008,0.006,19387,19387,19386,19399,
Beta3[13],0.023,1.101,-2.061,2.058,0.008,0.006,20252,19775,20246,18320,
