,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Beta7[29],0.08,0.353,-0.576,0.745,0.003,0.002,19608,19608,19601,19478,
Beta7[30],-0.154,0.42,-0.945,0.622,0.003,0.002,19191,19191,19217,19360,
Beta7[31],0.699,0.603,-0.432,1.833,0.004,0.003,19983,19921,19980,20086,
Beta7[32],0.296,0.48,-0.606,1.195,0.003,0.002,19870,19536,19869,19082,
Beta7[33],0.298,0.39,-0.434,1.035,0.003,0.002,19973,19746,19976,19958,
Beta7[34],0.637,0.395,-0.122,1.355,0.003,0.002,20017,19998,20016,19971,
Beta7[35],0.664,0.41,-0.096,1.451,0.003,0.002,19681,19628,19682,19962,
Beta7[36],-0.04,0.353,-0.721,0.607,0.002,0.002,20186,19832,20182,19987,
Beta7[37],0.476,0.408,-0.298,1.246,0.003,0.002,19824,19785,19828,19851,
Beta7[38],0.363,0.393,-0.389,1.075,0.003,0.002,19966,19960,19966,19406,
Beta7[39],0.242,0.393,-0.515,0.953,0.003,0.002,19893,18927,19890,19286,
mu,-0.518,0.138,-0.782,-0.266,0.001,0.001,19852,19831,19856,18896,
sigma,0.7,0.095,0.532,0.884,0.001,0,19912,19906,19909,19798,
